"","rf","Part","n","money","money_part"
"1","11","0.68","2032","6681107637","61.86"
"2","41","0.29","881","1429446952","13.23"
"3","51","0.33","979","931187503","8.62"
"4","31","0.12","358","598623848","5.54"
"5","21","0.16","484","546390598","5.06"
"6","13","0.83","2494","100024907","0.93"
"7","12","0.28","840","93923451","0.87"
"8","53","0.94","2823","57782341","0.53"
"9","43","0.61","1826","56382066","0.52"
"10","42","0.17","514","45615126","0.42"
"11","52","0.23","698","43774404","0.41"
"12","54","2.25","6737","28950516","0.27"
"13","23","0.34","1005","27058971","0.25"
"14","22","0.1","314","25757130","0.24"
"15","14","1.28","3828","25375084","0.23"
"16","44","1.35","4052","24438696","0.23"
"17","33","0.26","789","22525822","0.21"
"18","32","0.07","217","16432379","0.15"
"19","24","0.7","2082","13459459","0.12"
"20","34","0.56","1662","9008618","0.08"
"21","55","36.49","109193","6705174","0.06"
"22","45","18.32","54809","5910442","0.05"
"23","15","14.44","43203","5650152","0.05"
"24","25","12.16","36394","3073160","0.03"
"25","35","7.02","20994","2263038","0.02"
